Unicode,Akshara,vivRuta_open,ardhaSamvruta_halfclose,samVruta_close,swasa_unvoiced,mahaPrana_aspirated,anunasika_nasal,sparsa_stops,kanthya_velars,talavya_palatals,murthya_retroflex,dantya_dentals,oshthya_labials,kanthamula_glottals,guruvu_long,additional_complexity
0B85,TAMIL LETTER A (U+0B85),1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0B86,TAMIL LETTER AA (U+0B86),1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0B87,TAMIL LETTER I (U+0B87),0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0B88,TAMIL LETTER II (U+0B88),0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0B89,TAMIL LETTER U (U+0B89),0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
0B8A,TAMIL LETTER UU (U+0B8A),0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0B8E,TAMIL LETTER E (U+0B8E),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0B8F,TAMIL LETTER EE (U+0B8F),0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0B90,TAMIL LETTER AI (U+0B90),0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0B92,TAMIL LETTER O (U+0B92),0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
0B93,TAMIL LETTER OO (U+0B93),0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0B94,TAMIL LETTER AU (U+0B94),0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
0B95,TAMIL LETTER KA (U+0B95),0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0B99,TAMIL LETTER NGA (U+0B99),0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0B9A,TAMIL LETTER CA (U+0B9A),0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0B9C,TAMIL LETTER JA (U+0B9C),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0B9E,TAMIL LETTER NYA (U+0B9E),0,0,0,0,0,1,1,0,1,0,0,0,0,0,100
0B9F,TAMIL LETTER TTA (U+0B9F),0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0BA3,TAMIL LETTER NNA (U+0BA3),0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
0BA4,TAMIL LETTER TA (U+0BA4),0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
0BA8,TAMIL LETTER NA (U+0BA8),0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
0BA9,TAMIL LETTER NNNA (U+0BA9),0,0,0,0,0,1,1,0,0,0,1,0,0,0,50
0BAA,TAMIL LETTER PA (U+0BAA),0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0BAE,TAMIL LETTER MA (U+0BAE),0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
0BAF,TAMIL LETTER YA (U+0BAF),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0BB0,TAMIL LETTER RA (U+0BB0),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0BB1,TAMIL LETTER RRA (U+0BB1),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0BB2,TAMIL LETTER LA (U+0BB2),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0BB3,TAMIL LETTER LLA (U+0BB3),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0BB4,TAMIL LETTER LLLA (U+0BB4),0,0,0,1,0,0,0,0,0,1,0,0,0,0,100
0BB5,TAMIL LETTER VA (U+0BB5),0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0BB6,TAMIL LETTER SHA (U+0BB6),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0BB7,TAMIL LETTER SSA (U+0BB7),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0BB8,TAMIL LETTER SA (U+0BB8),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0BB9,TAMIL LETTER HA (U+0BB9),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0BBE,TAMIL VOWEL SIGN AA (U+0BBE),1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0BBF,TAMIL VOWEL SIGN I (U+0BBF),0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0BC0,TAMIL VOWEL SIGN II (U+0BC0),0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0BC1,TAMIL VOWEL SIGN U (U+0BC1),0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
0BC2,TAMIL VOWEL SIGN UU (U+0BC2),0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0BC6,TAMIL VOWEL SIGN E (U+0BC6),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0BC7,TAMIL VOWEL SIGN EE (U+0BC7),0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0BC8,TAMIL VOWEL SIGN AI (U+0BC8),0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0BCA,TAMIL VOWEL SIGN O (U+0BCA),0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0BCB,TAMIL VOWEL SIGN OO (U+0BCB),0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
0BCC,TAMIL VOWEL SIGN AU (U+0BCC),0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
0BD7,TAMIL AU LENGTH MARK (U+0BD7),0,0,1,1,0,0,0,0,0,0,0,0,0,1,25
0BCD,TAMIL SIGN VIRAMA (U+0BCD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0B82,TAMIL SIGN ANUSVARA (U+0B82),0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0B83,TAMIL SIGN VISARGA (U+0B83),1,0,0,1,1,0,0,0,0,0,0,0,0,1,0